Month,IncUsers,NewUsers
2015-04, 1149, 129
2015-05, 623, 101
2015-06, 243, 106
2015-07, 180, 79
2015-08, 183, 77
2015-09, 216, 93
2015-10, 505, 81
2015-11, 223, 66
2015-12, 309, 44
2016-01, 236, 40
