Yr,Mon,Contribs,Followers
2013, 3, 493, 38
2012, 2, 491, 12
2009, 12, 487, 35
2011, 6, 485, 70
2013, 2, 484, 30
2012, 9, 482, 6
2013, 11, 482, 15
2008, 6, 480, 53
2013, 10, 479, 8
2014, 9, 477, 0
2014, 3, 476, 8
2011, 6, 475, 19
2014, 6, 471, 12
2013, 8, 471, 29
2011, 9, 469, 7
2012, 1, 469, 103
2008, 3, 466, 331
2013, 9, 465, 3
2012, 7, 464, 2
2013, 11, 464, 0
2013, 11, 463, 10
2011, 2, 460, 4
2014, 1, 460, 3
2014, 9, 460, 17
2012, 12, 460, 3
2013, 4, 459, 9
2011, 12, 458, 4
2011, 1, 458, 18
2012, 3, 458, 3
2014, 10, 457, 8
2012, 4, 454, 3
2012, 12, 454, 13
2009, 7, 453, 32
2011, 3, 453, 779
2009, 9, 452, 209
2011, 3, 444, 8
2015, 3, 444, 12
2013, 11, 443, 20
2011, 12, 442, 46
2012, 10, 441, 21
2010, 1, 440, 40
2011, 5, 439, 3
2010, 5, 439, 15
2012, 2, 437, 47
2015, 10, 436, 0
2011, 3, 435, 291
2008, 9, 433, 74
2013, 9, 433, 24
2014, 1, 433, 2
2013, 11, 433, 5
2015, 6, 432, 1
2013, 2, 432, 18
2015, 1, 430, 0
2012, 8, 426, 9
2011, 9, 425, 13
2012, 4, 422, 24
2012, 6, 422, 17
2014, 6, 421, 17
2014, 10, 421, 3
2012, 10, 420, 0
2009, 10, 420, 157
2010, 2, 418, 3
2013, 8, 418, 31
2015, 1, 417, 2
2009, 11, 415, 23
2011, 8, 415, 4
2015, 3, 414, 1
2012, 4, 412, 42
2009, 3, 412, 20
2013, 11, 411, 4
2013, 1, 409, 1
2011, 1, 409, 47
2011, 1, 409, 229
2012, 8, 408, 29
2013, 5, 407, 0
2011, 4, 406, 19
2011, 7, 406, 21
2010, 12, 404, 98
2012, 4, 403, 2
2014, 9, 402, 6
2014, 3, 399, 15
2012, 9, 399, 5
2011, 4, 399, 42
2009, 5, 398, 36
2014, 5, 397, 13
2013, 12, 395, 4
2010, 10, 395, 7
2012, 6, 395, 15
2011, 2, 394, 2
2010, 3, 391, 48
2013, 5, 390, 10
2011, 7, 390, 9
2013, 7, 389, 19
2013, 11, 389, 7
2011, 3, 387, 2
2010, 10, 387, 148
2011, 4, 386, 4
2011, 3, 386, 17
2014, 10, 386, 0
2010, 11, 386, 24
2010, 1, 386, 55
2012, 3, 385, 4
2013, 5, 383, 0
2012, 12, 382, 2
2013, 10, 381, 10
2014, 4, 380, 0
2014, 7, 379, 3
2014, 2, 379, 5
2009, 8, 376, 6
2011, 4, 375, 53
2012, 11, 374, 2
2014, 9, 372, 5
2012, 9, 371, 13
2011, 9, 370, 4
2015, 5, 370, 1
2013, 10, 369, 1
2013, 1, 366, 6
2013, 5, 366, 41
2013, 1, 366, 7
2008, 8, 365, 52
2011, 6, 363, 41
2015, 8, 363, 8
2013, 11, 358, 4
2009, 11, 357, 29
2015, 9, 357, 6
2008, 4, 357, 7
2012, 1, 356, 17
2008, 11, 353, 424
2011, 1, 353, 1
2010, 6, 352, 40
2013, 5, 350, 14
2010, 12, 347, 9
2013, 3, 347, 1
2013, 9, 347, 2
2014, 7, 346, 6
2014, 7, 346, 129
2012, 9, 346, 34
2011, 11, 345, 10
2014, 3, 344, 4
2013, 4, 344, 0
2013, 5, 343, 2
2013, 7, 343, 16
2014, 10, 342, 7
2015, 1, 342, 0
2013, 9, 342, 13
2012, 5, 342, 34
2013, 3, 341, 0
2012, 2, 341, 5
2013, 6, 341, 2
2013, 11, 338, 4
2010, 9, 338, 57
2012, 6, 338, 1
2014, 4, 337, 13
2013, 9, 335, 1
