Yr,Mon,Contribs,Followers
2009, 5, 121, 13
2012, 4, 121, 39
2014, 4, 121, 0
2015, 4, 121, 1
2012, 1, 121, 41
2013, 6, 120, 10
2014, 9, 120, 3
2012, 11, 120, 7
2015, 1, 120, 1
2011, 10, 120, 9
2012, 2, 120, 6
2015, 3, 120, 5
2011, 1, 120, 5
2014, 10, 119, 4
2014, 11, 119, 4
2012, 8, 119, 5
2011, 6, 119, 20
2012, 9, 119, 6
2015, 5, 119, 0
2014, 11, 119, 35
2011, 3, 118, 29
2011, 6, 118, 1
2012, 11, 118, 5
2014, 12, 118, 0
2011, 5, 117, 37
2011, 9, 117, 8
2010, 1, 117, 7
2010, 10, 117, 15
2013, 3, 116, 2
2008, 6, 116, 38
2014, 9, 116, 6
2015, 4, 116, 3
2014, 9, 116, 1
2012, 3, 116, 0
2011, 11, 116, 60
2012, 9, 116, 4
2014, 8, 116, 26
2013, 4, 116, 0
2013, 1, 116, 2
2011, 9, 115, 9
2013, 5, 115, 19
2013, 5, 115, 1
2014, 2, 115, 0
2012, 4, 114, 18
2012, 4, 114, 2
2013, 2, 114, 5
2013, 11, 114, 4
2015, 3, 113, 0
2013, 8, 113, 8
2012, 7, 113, 50
2012, 10, 113, 4
2009, 12, 112, 18
2014, 11, 112, 2
2015, 4, 112, 0
2013, 2, 112, 5
2013, 12, 112, 1
2012, 12, 112, 13
2013, 6, 112, 8
2015, 1, 112, 0
2012, 2, 111, 4
2015, 7, 111, 6
2015, 2, 111, 3
2012, 1, 111, 0
2015, 4, 111, 2
2013, 8, 111, 5
2014, 5, 111, 2
2013, 12, 111, 2
2008, 4, 111, 47
2012, 3, 111, 6
2014, 10, 110, 3
2013, 11, 110, 19
2012, 11, 110, 2
2014, 9, 110, 1
2009, 10, 110, 32
2013, 1, 110, 5
2013, 4, 110, 0
2015, 8, 110, 2
2013, 11, 110, 0
2014, 3, 110, 8
2013, 5, 109, 1
2011, 4, 109, 8
2014, 1, 109, 15
2013, 4, 109, 3
2014, 4, 109, 3
2011, 8, 109, 1
2008, 10, 109, 6
2013, 12, 109, 95
2014, 6, 109, 2
2013, 11, 108, 2
2011, 12, 108, 9
2015, 2, 108, 2
2012, 9, 108, 4
2011, 6, 108, 22
2012, 12, 108, 2
2011, 2, 108, 10
2013, 6, 108, 0
2015, 8, 108, 4
2012, 8, 107, 842
2012, 7, 107, 6
2010, 1, 107, 15
2012, 4, 107, 0
2013, 10, 107, 1
2014, 3, 107, 2
2014, 8, 107, 13
2015, 10, 107, 1
2011, 5, 107, 21
2011, 11, 107, 9
2014, 9, 107, 0
2013, 7, 107, 4
2014, 3, 107, 3
2013, 12, 107, 16
2012, 7, 107, 0
2008, 10, 107, 94
2012, 1, 107, 4
2014, 5, 106, 137
2012, 12, 106, 8
2012, 9, 106, 2
2011, 8, 106, 66
2013, 8, 106, 4
2013, 3, 106, 1
2014, 6, 105, 1
2013, 6, 105, 1
2014, 11, 105, 1
2014, 4, 105, 5
2014, 9, 105, 0
2013, 9, 105, 5
2015, 9, 105, 1
2010, 12, 105, 6
2015, 7, 104, 1
2014, 10, 104, 2
2011, 10, 104, 2
2013, 10, 104, 1
2015, 6, 104, 0
2013, 9, 104, 4
2013, 6, 104, 5
2015, 2, 103, 0
2011, 4, 103, 12
2012, 9, 103, 39
2014, 6, 103, 2
2013, 12, 103, 1
2013, 7, 103, 0
2014, 8, 103, 0
2015, 1, 103, 1
2015, 3, 103, 1
2012, 8, 103, 3
2014, 3, 102, 0
2014, 9, 102, 0
2013, 2, 102, 1
2013, 11, 102, 5
2014, 5, 102, 4
2010, 9, 102, 81
2015, 9, 102, 0
2013, 9, 102, 7
2013, 9, 102, 0
2010, 11, 102, 1
2008, 8, 102, 8
2010, 5, 101, 4
2013, 3, 101, 0
2014, 4, 101, 7
2015, 1, 101, 8
2010, 2, 101, 9
2013, 4, 101, 0
2014, 1, 101, 1
2011, 8, 101, 8
2013, 10, 101, 5
2015, 6, 101, 3
2013, 11, 101, 4
2014, 10, 101, 12
2015, 2, 100, 0
2015, 6, 100, 4
2013, 11, 100, 0
2013, 9, 100, 0
2013, 10, 100, 1
2014, 3, 100, 0
2009, 12, 100, 9
2011, 2, 99, 13
2015, 4, 99, 3
2012, 2, 99, 4
2012, 2, 99, 18
2014, 9, 98, 3
2015, 9, 98, 0
2013, 11, 98, 2
2014, 5, 98, 0
2015, 4, 98, 2
2014, 2, 98, 1
2013, 12, 98, 13
2012, 11, 98, 0
2011, 1, 98, 16
2014, 8, 98, 0
2008, 10, 98, 6
2015, 1, 98, 1
2013, 5, 98, 0
2011, 6, 98, 15
2015, 3, 97, 0
2011, 6, 97, 70
2012, 6, 97, 0
2014, 2, 97, 1
2012, 12, 97, 5
2014, 9, 97, 16
2012, 3, 97, 3
2010, 11, 97, 1
2014, 6, 97, 1
2014, 9, 96, 2
2013, 7, 96, 15
2013, 9, 96, 0
2012, 2, 96, 1
2009, 10, 96, 0
2013, 11, 96, 16
2011, 10, 96, 3
2012, 2, 96, 40
2011, 3, 96, 0
2015, 5, 96, 18
2012, 3, 96, 2
2011, 10, 96, 7
2013, 1, 95, 10
2012, 12, 95, 3
2014, 1, 95, 3
2012, 12, 95, 4
2013, 6, 95, 0
2011, 1, 95, 1
2011, 2, 95, 5
2013, 10, 95, 2
2011, 11, 95, 2
2014, 7, 94, 6
2014, 3, 94, 5
2011, 2, 94, 16
2014, 3, 94, 5
2014, 7, 94, 3
2011, 4, 94, 16
2012, 5, 94, 10
2011, 4, 94, 10
2012, 3, 94, 6
2013, 4, 94, 4
2010, 4, 94, 19
2013, 2, 94, 10
2012, 5, 94, 23
2011, 8, 93, 1
2013, 11, 93, 2
2011, 11, 93, 16
2013, 3, 93, 8
2012, 10, 93, 1
2011, 1, 93, 0
2008, 11, 93, 1
2012, 1, 93, 20
2013, 5, 93, 2
2015, 1, 93, 0
2014, 2, 93, 7
2015, 9, 93, 1
2015, 10, 92, 1
2014, 11, 92, 5
2015, 1, 92, 2
2011, 4, 92, 0
2013, 7, 92, 3
2012, 7, 92, 4
2012, 8, 92, 22
2010, 4, 92, 7
2014, 11, 92, 0
2015, 4, 92, 5
2011, 12, 92, 1
2014, 4, 92, 1
2014, 1, 92, 1
2013, 12, 91, 9
2014, 2, 91, 7
2011, 10, 91, 9
2011, 3, 91, 2
2013, 10, 91, 26
2014, 2, 91, 7
2013, 8, 91, 0
2014, 6, 91, 0
2015, 8, 91, 0
2008, 11, 91, 83
2011, 5, 91, 21
2014, 7, 91, 4
2012, 11, 91, 3
2012, 1, 91, 6
2012, 6, 91, 4
2012, 2, 90, 2
2014, 6, 90, 1
2013, 12, 90, 0
2012, 5, 90, 7
2015, 2, 90, 7
2013, 11, 90, 4
2014, 5, 90, 1
2010, 10, 90, 10
2012, 2, 90, 0
2013, 2, 89, 4
2012, 5, 89, 0
2013, 10, 89, 7
2008, 4, 89, 26
2012, 2, 89, 9
2014, 5, 89, 3
2013, 1, 89, 9
2011, 12, 89, 1
2010, 8, 88, 5
2015, 4, 88, 4
2011, 6, 88, 7
2013, 2, 88, 13
2014, 3, 88, 8
2015, 9, 88, 2
2015, 1, 88, 5
2011, 11, 88, 7
2010, 3, 88, 10
2009, 9, 88, 7
2011, 10, 88, 4
2011, 4, 88, 8
2015, 2, 88, 0
2011, 10, 88, 0
2015, 3, 87, 0
2010, 1, 87, 4
2014, 11, 87, 1
2012, 5, 87, 5
2015, 1, 87, 1
2011, 12, 87, 82
2011, 4, 87, 9
2012, 12, 87, 0
2014, 3, 87, 4
2014, 11, 87, 0
2010, 7, 87, 34
2011, 1, 87, 8
2013, 2, 86, 10
2011, 4, 86, 8
2015, 2, 86, 8
2012, 8, 86, 6
2011, 3, 86, 43
2015, 4, 86, 7
2012, 7, 86, 39
2014, 8, 86, 0
2014, 12, 86, 0
2011, 8, 86, 6
2008, 11, 86, 12
2012, 7, 85, 2
2014, 1, 85, 2
2010, 2, 85, 0
2008, 2, 85, 26
2008, 9, 85, 23
2010, 8, 85, 12
2012, 9, 85, 13
2013, 12, 85, 0
2013, 11, 85, 1
2015, 2, 85, 1
2010, 4, 85, 7
2014, 12, 85, 3
2012, 12, 84, 8
2011, 10, 84, 6
2013, 4, 84, 6
2010, 10, 84, 9
2015, 9, 84, 0
2011, 1, 84, 4
2014, 2, 84, 0
2014, 4, 84, 2
2011, 8, 84, 4
2014, 5, 83, 4
2014, 9, 83, 2
2014, 3, 83, 4
2015, 1, 83, 2
2013, 6, 83, 2
2015, 2, 83, 0
2014, 11, 83, 1
2011, 10, 83, 2
2012, 1, 83, 7
2013, 9, 83, 1
2011, 4, 83, 0
2013, 6, 82, 2
2008, 4, 82, 74
2013, 10, 82, 3
2009, 8, 82, 4
2014, 2, 82, 1
2014, 5, 82, 2
2014, 5, 82, 3
2015, 6, 81, 4
2013, 4, 81, 1
2011, 8, 81, 3
2013, 7, 81, 1
2012, 10, 81, 20
2012, 11, 81, 0
2010, 4, 81, 29
2015, 4, 81, 0
2011, 1, 81, 4
2014, 1, 81, 0
2014, 1, 81, 4
2014, 8, 80, 0
2014, 10, 80, 0
2014, 5, 80, 0
2013, 7, 80, 4
2012, 3, 80, 13
2013, 8, 80, 5
2009, 6, 80, 5
2011, 12, 80, 26
2013, 9, 80, 6
2011, 10, 80, 43
2011, 7, 80, 14
2010, 5, 80, 47
2015, 3, 80, 0
2014, 3, 79, 0
2013, 2, 79, 16
2015, 6, 79, 4
2014, 2, 79, 2
2014, 3, 79, 0
2014, 7, 79, 5
2013, 11, 79, 0
2010, 2, 79, 2
2011, 11, 79, 26
2013, 11, 79, 1
2014, 8, 78, 0
2013, 3, 78, 3
2015, 6, 78, 0
2012, 4, 78, 4
2013, 4, 78, 0
2009, 11, 78, 18
2015, 12, 78, 0
2008, 8, 78, 8
2014, 5, 78, 0
2014, 7, 78, 1
2013, 3, 78, 2
2011, 6, 78, 0
2012, 8, 78, 21
2014, 9, 78, 3
2013, 8, 78, 1
2014, 3, 77, 13
2009, 1, 77, 60
2009, 11, 77, 12
2013, 6, 77, 8
2011, 10, 77, 3
2013, 10, 76, 1
2014, 7, 76, 3
2014, 5, 76, 4
2011, 12, 76, 10
2014, 10, 76, 1
2013, 2, 76, 1
2015, 3, 76, 0
2013, 2, 76, 30
2013, 2, 76, 13
2015, 1, 76, 0
2012, 9, 76, 1
2014, 4, 76, 21
2010, 2, 75, 27
2014, 12, 75, 2
2011, 2, 75, 5
2012, 9, 75, 4
2013, 3, 75, 0
2014, 10, 75, 15
2012, 8, 75, 49
2014, 4, 75, 13
2015, 6, 75, 0
2011, 11, 75, 9
2013, 9, 75, 5
2014, 3, 75, 0
2012, 12, 75, 15
2014, 4, 75, 5
2014, 5, 75, 4
2013, 4, 75, 1
2013, 4, 74, 0
2008, 3, 74, 27
2013, 10, 74, 2
2012, 6, 74, 7
2014, 10, 74, 0
2010, 11, 74, 2
2014, 11, 74, 2
2010, 4, 74, 36
2013, 1, 74, 0
2014, 7, 74, 8
2011, 4, 74, 1
2013, 12, 74, 10
2010, 9, 74, 7
2013, 7, 74, 3
2014, 5, 73, 3
2013, 7, 73, 7
2013, 10, 73, 2
2011, 8, 73, 2
2015, 1, 73, 0
2011, 10, 73, 12
2014, 7, 73, 6
2014, 1, 73, 1
2014, 8, 73, 0
2014, 5, 73, 21
2014, 9, 73, 0
2011, 4, 73, 0
2010, 11, 73, 2
2014, 9, 73, 1
2012, 9, 73, 1
2015, 1, 72, 12
2014, 10, 72, 1
2014, 8, 72, 0
2011, 3, 72, 3
2011, 5, 72, 27
2013, 2, 72, 12
2014, 1, 72, 1
2015, 1, 72, 4
2012, 4, 72, 43
2012, 3, 72, 18
2014, 12, 72, 6
2013, 8, 72, 8
2015, 7, 71, 2
2014, 9, 71, 1
2012, 10, 71, 1
2011, 2, 71, 21
2015, 6, 71, 0
2015, 2, 71, 5
2012, 8, 71, 2
2010, 10, 71, 0
2013, 2, 71, 0
2010, 10, 71, 1
2014, 7, 71, 0
2011, 8, 71, 10
2011, 8, 71, 3
2012, 7, 70, 9
2011, 4, 70, 2
2014, 3, 70, 3
2013, 11, 70, 7
2013, 4, 70, 1
2010, 3, 70, 20
2014, 1, 70, 2
2014, 12, 70, 2
2014, 10, 70, 9
2015, 7, 70, 0
2013, 4, 70, 4
2013, 7, 70, 0
2011, 9, 70, 6
2014, 4, 70, 0
2013, 9, 70, 6
2012, 4, 70, 5
2015, 5, 69, 0
2012, 8, 69, 12
2013, 6, 69, 0
2011, 11, 69, 6
2014, 12, 69, 0
2015, 7, 69, 4
2011, 1, 69, 32
2014, 1, 69, 8
2008, 10, 69, 16
2014, 10, 69, 9
2011, 3, 69, 4
2012, 3, 69, 6
2011, 3, 69, 9
2011, 4, 69, 3
2015, 1, 69, 0
2011, 10, 69, 10
2012, 4, 69, 30
2011, 4, 68, 5
2014, 9, 68, 3
2013, 1, 68, 5
2013, 9, 68, 0
2009, 7, 68, 5
2009, 12, 68, 0
2011, 6, 68, 0
2013, 12, 68, 0
2013, 11, 68, 7
2013, 7, 68, 35
2014, 12, 68, 5
2009, 3, 68, 6
2015, 2, 68, 0
2012, 2, 68, 17
2014, 5, 68, 0
2014, 6, 68, 0
2014, 10, 67, 2
2013, 5, 67, 1
2015, 4, 67, 0
2011, 5, 67, 4
2015, 7, 67, 0
2013, 3, 67, 14
2015, 2, 67, 2
2015, 1, 67, 0
2011, 9, 67, 8
2011, 3, 67, 1
2012, 1, 67, 4
2014, 5, 67, 0
2015, 1, 67, 0
2011, 7, 67, 7
2013, 4, 67, 1
2013, 11, 67, 2
2014, 7, 67, 3
2014, 10, 67, 3
2011, 12, 67, 20
2012, 12, 67, 1
2013, 3, 66, 1
2012, 5, 66, 3
2010, 9, 66, 13
2011, 1, 66, 2
2012, 3, 66, 1
2014, 2, 66, 0
2014, 10, 66, 0
2014, 1, 66, 0
2013, 1, 66, 3
2013, 7, 66, 1
2013, 10, 66, 1
2015, 6, 66, 1
2015, 1, 66, 5
2015, 10, 66, 1
2011, 11, 66, 9
2013, 7, 66, 2
2010, 5, 66, 7
2012, 9, 65, 4
2013, 9, 65, 2
2013, 9, 65, 0
2013, 4, 65, 5
2013, 9, 65, 6
2009, 2, 65, 105
2011, 4, 65, 5
2013, 8, 65, 7
2014, 6, 65, 4
2011, 9, 65, 0
2013, 5, 65, 28
2015, 1, 65, 13
2014, 2, 65, 8
2011, 6, 65, 23
2011, 6, 65, 20
2014, 9, 65, 0
2012, 6, 65, 4
2015, 3, 65, 2
2014, 1, 65, 0
2013, 10, 65, 0
2012, 4, 64, 8
2011, 1, 64, 21
2014, 11, 64, 1
2012, 3, 64, 6
2013, 7, 64, 1
2011, 7, 64, 3
2011, 12, 64, 4
2011, 3, 64, 10
2010, 7, 64, 2
2013, 5, 64, 4
2013, 9, 64, 0
2014, 8, 64, 7
2009, 1, 64, 109
2015, 5, 64, 1
2008, 4, 64, 28
2013, 10, 64, 1
2012, 9, 64, 20
2008, 4, 64, 1
2015, 2, 64, 0
2010, 10, 63, 4
2014, 11, 63, 1
2015, 3, 63, 5
2013, 1, 63, 8
2011, 10, 63, 8
2012, 10, 63, 3
2009, 3, 63, 20
2013, 4, 63, 1
2013, 4, 63, 8
2012, 4, 63, 1
2010, 8, 63, 8
2011, 4, 63, 0
2014, 9, 63, 1
2013, 4, 63, 14
2013, 2, 63, 4
2011, 2, 63, 1
2012, 10, 62, 1
2011, 7, 62, 5
2012, 11, 62, 4
2011, 2, 62, 8
2013, 3, 62, 7
2014, 11, 62, 4
2011, 12, 62, 5
2012, 1, 62, 1
2013, 11, 62, 3
2014, 8, 62, 0
2013, 5, 62, 1
2015, 9, 62, 0
2014, 1, 62, 0
2014, 4, 62, 1
2012, 6, 62, 3
2010, 4, 62, 20
2011, 12, 62, 9
2013, 2, 62, 0
2014, 3, 62, 1
2014, 1, 61, 1
2014, 1, 61, 10
2015, 3, 61, 0
2011, 8, 61, 5
2013, 7, 61, 1
2012, 9, 61, 9
2013, 7, 61, 18
2011, 5, 61, 3
2012, 9, 61, 3
2011, 3, 61, 17
2014, 2, 61, 1
2010, 7, 61, 10
2012, 4, 61, 10
2014, 2, 61, 0
2012, 1, 61, 7
2011, 8, 60, 6
2014, 5, 60, 0
2011, 2, 60, 5
2015, 2, 60, 2
2014, 5, 60, 5
2014, 12, 60, 1
2011, 2, 60, 9
2011, 7, 60, 1
2013, 11, 60, 8
2014, 3, 60, 0
2014, 9, 60, 2
2010, 3, 60, 10
2011, 3, 60, 9
2014, 7, 59, 3
2014, 2, 59, 4
2012, 2, 59, 24
2014, 3, 59, 3
2010, 11, 59, 59
2014, 4, 59, 0
2011, 6, 59, 16
2015, 12, 59, 0
2015, 6, 59, 2
2015, 5, 59, 1
2010, 5, 59, 42
2011, 6, 59, 0
2014, 4, 59, 1
2012, 11, 59, 0
2015, 3, 59, 7
2010, 12, 58, 12
2010, 5, 58, 84
2008, 6, 58, 12
2011, 4, 58, 12
2008, 9, 58, 24
2014, 4, 58, 0
2015, 5, 58, 0
2015, 4, 58, 0
2014, 2, 58, 5
2013, 1, 58, 0
2015, 2, 58, 0
2014, 10, 58, 0
2012, 10, 58, 0
2014, 7, 58, 1
2014, 10, 58, 2
2009, 4, 58, 4
2013, 3, 58, 1
2009, 4, 58, 2
2009, 9, 58, 18
2012, 10, 58, 2
2012, 8, 58, 4
2013, 9, 57, 16
2011, 2, 57, 26
2012, 5, 57, 1
2014, 8, 57, 0
2013, 9, 57, 6
2013, 9, 57, 0
2009, 12, 57, 43
2008, 8, 57, 3
2014, 1, 57, 2
2014, 3, 57, 4
2010, 10, 57, 0
2014, 2, 57, 5
2013, 3, 57, 4
2011, 4, 57, 13
2015, 5, 57, 0
2011, 12, 57, 4
2010, 12, 57, 0
2011, 6, 57, 3
2015, 12, 57, 1
2012, 5, 57, 12
2012, 3, 57, 7
2009, 2, 57, 38
2014, 11, 57, 0
2011, 10, 57, 7
2012, 6, 57, 1
2015, 5, 57, 4
2015, 1, 57, 2
2012, 8, 56, 10
2013, 9, 56, 9
2010, 5, 56, 6
2010, 2, 56, 4
2011, 7, 56, 1
2015, 11, 56, 0
2010, 8, 56, 14
2015, 4, 56, 0
2011, 10, 56, 1
2013, 2, 56, 5
2010, 12, 56, 82
2012, 9, 56, 12
2013, 12, 56, 8
2015, 7, 56, 2
2012, 4, 56, 4
2012, 5, 56, 9
2013, 10, 56, 2
2015, 6, 56, 0
2012, 1, 56, 22
2015, 3, 56, 7
2013, 6, 56, 5
2015, 12, 55, 0
2012, 6, 55, 2
2013, 10, 55, 0
2012, 6, 55, 2
2013, 3, 55, 6
2012, 10, 55, 22
2015, 3, 55, 1
2014, 11, 55, 0
2015, 3, 55, 1
2015, 4, 55, 0
2008, 9, 55, 14
2014, 10, 55, 4
2015, 6, 55, 4
2014, 9, 55, 0
2015, 1, 55, 5
2015, 4, 55, 2
2012, 11, 55, 1
2013, 1, 55, 5
2012, 1, 55, 6
2013, 11, 55, 2
2015, 3, 55, 6
2014, 11, 55, 0
2014, 7, 54, 1
2014, 9, 54, 0
2013, 9, 54, 0
2015, 6, 54, 1
2013, 1, 54, 0
2011, 12, 54, 58
2013, 9, 54, 2
2014, 7, 54, 2
2010, 5, 54, 2
2012, 5, 54, 0
2015, 11, 54, 0
2015, 5, 54, 14
2011, 4, 54, 1
2015, 4, 54, 0
2011, 6, 53, 10
2014, 3, 53, 2
2015, 5, 53, 0
2014, 3, 53, 2
2015, 1, 53, 8
2014, 3, 53, 2
2013, 1, 53, 6
2011, 1, 53, 19
2015, 10, 53, 3
2012, 5, 53, 5
2014, 10, 53, 2
2010, 3, 53, 1
2012, 10, 53, 0
2014, 9, 53, 7
2015, 3, 53, 0
2012, 2, 53, 0
2015, 2, 53, 0
2014, 2, 53, 3
2014, 2, 53, 1
2013, 9, 53, 0
2014, 8, 52, 3
2012, 12, 52, 1
2014, 2, 52, 2
2012, 4, 52, 2
2011, 4, 52, 3
2012, 8, 52, 8
2014, 11, 52, 2
2012, 12, 52, 0
2013, 5, 52, 3
2015, 1, 52, 0
2013, 8, 52, 1
2008, 7, 52, 7
2009, 9, 52, 4
2012, 6, 52, 0
2011, 6, 52, 12
2010, 12, 52, 38
2014, 11, 52, 3
2013, 4, 52, 8
2010, 2, 52, 12
2015, 2, 52, 0
2013, 5, 52, 2
2012, 7, 52, 0
2009, 1, 51, 6
2015, 3, 51, 1
2013, 11, 51, 0
2015, 2, 51, 1
2009, 1, 51, 25
2010, 10, 51, 38
2014, 3, 51, 1
2010, 6, 51, 509
2015, 3, 51, 5
2012, 5, 51, 1
2012, 3, 51, 1
2010, 2, 51, 2
2013, 11, 51, 0
2015, 3, 51, 2
2015, 6, 51, 1
2010, 3, 51, 16
2015, 9, 51, 0
2013, 2, 51, 2
2014, 4, 51, 3
2010, 12, 51, 9
2014, 12, 51, 4
2010, 12, 51, 2
2012, 10, 51, 1
2013, 12, 51, 5
2011, 2, 51, 16
2013, 8, 51, 1
2008, 9, 51, 24
2012, 9, 51, 3
2015, 8, 51, 1
2014, 9, 51, 3
2012, 3, 51, 85
2013, 11, 51, 1
2009, 11, 51, 66
2014, 7, 51, 3
2015, 8, 51, 0
2014, 1, 51, 5
2013, 6, 51, 1
2014, 6, 51, 0
2013, 2, 50, 2
2014, 11, 50, 2
2012, 8, 50, 1
2013, 2, 50, 2
2013, 11, 50, 3
2013, 4, 50, 80
2013, 10, 50, 5
2012, 7, 50, 1
2012, 4, 50, 2
2014, 8, 50, 4
2012, 4, 50, 1
2013, 9, 50, 2
2013, 7, 50, 2
2013, 4, 50, 13
2013, 2, 50, 12
2008, 4, 50, 26
2010, 6, 50, 10
2012, 4, 50, 7
2008, 7, 50, 47
2014, 9, 50, 0
2012, 7, 49, 8
2012, 12, 49, 0
2014, 12, 49, 0
2013, 4, 49, 5
2010, 12, 49, 14
2015, 4, 49, 2
2013, 12, 49, 1
2013, 5, 49, 5
2015, 9, 49, 3
2011, 8, 49, 6
2015, 4, 49, 3
2014, 10, 49, 0
2014, 3, 49, 2
2014, 4, 49, 6
2011, 5, 49, 7
2014, 5, 49, 4
2010, 1, 49, 0
2010, 5, 49, 26
2011, 3, 49, 14
2013, 10, 49, 2
2015, 3, 49, 0
2011, 11, 49, 2
2013, 1, 49, 2
2013, 7, 49, 1
2011, 9, 49, 5
2014, 9, 48, 1
2011, 9, 48, 0
2012, 9, 48, 1
2012, 2, 48, 9
2013, 6, 48, 7
2014, 2, 48, 1
2015, 1, 48, 3
2015, 2, 48, 2
2015, 9, 48, 1
2013, 2, 48, 0
2012, 12, 48, 10
2014, 9, 48, 42
2013, 10, 48, 6
2014, 8, 48, 1
2014, 1, 48, 3
2013, 5, 48, 1
2011, 3, 48, 14
2011, 4, 48, 15
2012, 7, 48, 2
2014, 12, 48, 0
2011, 12, 48, 8
2014, 7, 48, 0
2014, 5, 47, 16
2012, 2, 47, 4
2013, 4, 47, 3
2013, 1, 47, 14
2012, 9, 47, 15
2014, 3, 47, 6
2015, 11, 47, 0
2014, 9, 47, 0
2015, 2, 47, 2
2013, 11, 47, 13
2015, 1, 47, 0
2015, 3, 47, 0
2015, 2, 47, 0
2011, 6, 47, 6
2011, 4, 47, 5
2013, 11, 47, 0
2013, 4, 47, 4
2014, 2, 47, 0
2013, 5, 47, 4
2012, 2, 47, 36
2008, 7, 47, 29
2015, 3, 47, 1
2012, 10, 47, 0
2011, 8, 47, 5
2015, 6, 47, 10
2014, 10, 47, 2
2012, 10, 47, 0
2012, 1, 47, 0
2014, 3, 47, 0
2013, 9, 47, 0
2009, 2, 47, 13
2014, 7, 46, 6
2014, 7, 46, 1
2014, 5, 46, 1
2014, 12, 46, 12
2013, 5, 46, 4
2014, 9, 46, 0
2014, 3, 46, 0
2011, 7, 46, 23
2012, 9, 46, 23
2013, 5, 46, 0
2013, 6, 46, 2
2013, 4, 46, 6
2013, 4, 46, 7
2014, 5, 46, 5
2012, 12, 46, 1
2015, 2, 46, 5
2011, 10, 46, 0
2011, 11, 46, 2
2010, 8, 46, 8
2014, 12, 46, 3
2011, 8, 46, 1
2013, 1, 45, 4
2014, 2, 45, 0
2009, 2, 45, 7
2013, 10, 45, 0
2013, 2, 45, 1
2015, 4, 45, 0
2012, 11, 45, 10
2013, 9, 45, 2
2014, 4, 45, 5
2013, 11, 45, 5
2014, 4, 45, 0
2015, 5, 45, 0
2012, 1, 45, 13
2010, 4, 45, 28
2013, 10, 45, 4
2014, 7, 45, 0
2014, 4, 45, 2
2012, 4, 45, 2
2014, 3, 45, 0
2014, 5, 45, 38
2015, 10, 45, 0
2013, 4, 45, 0
2015, 8, 44, 3
2015, 2, 44, 0
2009, 4, 44, 19
2008, 5, 44, 2
2014, 11, 44, 3
2013, 7, 44, 4
2014, 5, 44, 1
2012, 9, 44, 107
2014, 11, 44, 3
2012, 6, 44, 6
2010, 9, 44, 1
2012, 4, 44, 12
2015, 7, 44, 1
2014, 3, 44, 1
2008, 5, 44, 25
2013, 1, 44, 20
2011, 3, 44, 0
2015, 6, 44, 0
2012, 9, 44, 17
2014, 7, 44, 2
2012, 1, 44, 3
2015, 7, 44, 0
2012, 2, 44, 21
2013, 5, 44, 5
2012, 9, 44, 1
2014, 11, 44, 0
2008, 6, 44, 60
2013, 4, 44, 9
2011, 9, 44, 1
2010, 11, 44, 4
2014, 2, 43, 0
2011, 9, 43, 27
2012, 10, 43, 4
2011, 6, 43, 9
2015, 5, 43, 1
2010, 4, 43, 3
2012, 1, 43, 5
2014, 5, 43, 4
2013, 3, 43, 2
2013, 8, 43, 0
2012, 10, 43, 6
2012, 8, 43, 7
2013, 3, 43, 4
2015, 12, 43, 0
2011, 10, 43, 5
2010, 8, 43, 17
2012, 6, 43, 0
2015, 3, 43, 0
2011, 8, 43, 1
2015, 6, 43, 0
2014, 11, 43, 0
2014, 12, 43, 0
2014, 5, 43, 1
2014, 6, 43, 1
2013, 3, 43, 1
2012, 3, 43, 3
2015, 5, 43, 0
2012, 12, 43, 0
2010, 2, 43, 1
2011, 11, 43, 1
2014, 10, 43, 1
2009, 1, 43, 21
2011, 1, 43, 1
2015, 6, 43, 1
2014, 12, 42, 0
2012, 3, 42, 1
2014, 8, 42, 0
2012, 11, 42, 5
2015, 6, 42, 0
2015, 10, 42, 0
2013, 9, 42, 0
2011, 4, 42, 9
2014, 7, 42, 1
2015, 5, 42, 0
2014, 2, 42, 0
2015, 1, 42, 1
2013, 12, 42, 1
2010, 12, 42, 16
2011, 10, 42, 2
2013, 5, 42, 0
2014, 5, 42, 0
2010, 7, 42, 12
2010, 11, 42, 3
2012, 10, 42, 0
2013, 10, 42, 0
2010, 3, 42, 223
2014, 3, 42, 3
2015, 4, 42, 0
2014, 10, 42, 6
2011, 12, 42, 6
2015, 10, 42, 0
2008, 6, 42, 5
2014, 4, 42, 2
2012, 1, 42, 1
2015, 7, 42, 0
2013, 5, 41, 0
2014, 10, 41, 8
2012, 2, 41, 4
2011, 7, 41, 2
2013, 9, 41, 2
2014, 4, 41, 4
2013, 1, 41, 2
2014, 3, 41, 5
2014, 12, 41, 8
2015, 1, 41, 6
2015, 1, 41, 7
2011, 10, 41, 0
2012, 12, 41, 97
2012, 5, 41, 1
2015, 1, 41, 2
2013, 8, 41, 0
2013, 7, 41, 8
2013, 10, 41, 0
2013, 1, 41, 3
2014, 3, 41, 5
2014, 11, 41, 2
2014, 10, 41, 1
2013, 6, 41, 3
2012, 11, 41, 2
2011, 12, 41, 1
2014, 10, 41, 6
2014, 12, 41, 2
2014, 6, 41, 5
2014, 5, 41, 6
2014, 9, 41, 5
2011, 4, 40, 0
2012, 11, 40, 19
2014, 5, 40, 1
2011, 9, 40, 57
2010, 2, 40, 37
2014, 11, 40, 0
